type,cores,sq,weightKgPerM,source
CVT,3,8,0.39,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,14,0.56,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,22,0.82,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,38,1.3,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,60,1.99,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,100,3.19,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,150,4.54,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,200,6.06,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,250,7.42,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,325,9.45,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,400,12.57,フジクラ・ダイヤケーブル(カタログ値)
CVT,3,500,14.72,フジクラ・ダイヤケーブル(カタログ値)
CV,1,2,0.055,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,3.5,0.075,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,5.5,0.105,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,8,0.13,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,14,0.185,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,22,0.27,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,38,0.425,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,60,0.65,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,100,1.05,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,150,1.53,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,200,2.02,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,250,2.48,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,325,3.19,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,400,4.11,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,500,5.14,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,1,600,6.11,JIS C 3605（600V CV 単心）カタログ p.13 概算質量より算出
CV,2,2,0.11,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,3.5,0.155,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,5.5,0.22,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,8,0.275,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,14,0.395,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,22,0.595,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,38,0.95,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,60,1.48,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,100,2.42,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,150,3.45,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,200,4.59,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,250,5.59,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,2,325,7.18,JIS C 3605（600V CV 2心）カタログ p.13 概算質量より算出
CV,3,2,0.135,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,3.5,0.19,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,5.5,0.275,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,8,0.355,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,14,0.53,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,22,0.805,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,38,1.31,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,60,2.05,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,100,3.36,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,150,4.93,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,200,6.55,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,250,8.02,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,3,325,10.26,JIS C 3605（600V CV 3心）カタログ p.14 概算質量より算出
CV,4,2,0.165,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,3.5,0.235,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,5.5,0.35,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,8,0.45,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,14,0.68,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,22,1.05,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,38,1.71,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,60,2.68,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,100,4.41,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
CV,4,150,6.47,JIS C 3605（600V CV 4心）カタログ p.14 概算質量より算出
