type,series,seriesLabel,partNo,width,lengthM,massKg,source
QR,P,標準塗装,QR20,200,3,15.90,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR30,300,3,16.50,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR40,400,3,17.70,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR50,500,3,19.80,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR60,600,3,21.00,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR70,700,3,22.30,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR80,800,3,23.50,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR90,900,3,24.80,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR100,1000,3,26.00,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,P,標準塗装,QR120G,1200,3,34.00,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR20,200,3,16.50,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR30,300,3,17.10,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR40,400,3,18.20,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR50,500,3,20.40,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR60,600,3,21.60,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR70,700,3,22.90,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR80,800,3,24.20,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR90,900,3,25.40,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR100,1000,3,26.60,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,SD,高耐食性めっき鋼板（スーパーダイマ）,SD-QR120G,1200,3,31.00,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR20,200,3,16.70,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR30,300,3,17.40,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR40,400,3,18.60,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR50,500,3,20.80,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR60,600,3,22.10,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR70,700,3,23.50,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR80,800,3,24.70,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR90,900,3,26.10,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR100,1000,3,27.30,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,Z,溶融亜鉛めっき仕上げ,Z-QR120G,1200,3,35.70,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR20,200,3,12.41,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR30,300,3,13.51,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR40,400,3,14.61,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR50,500,3,15.71,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR60,600,3,16.81,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR70,700,3,17.91,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR80,800,3,19.01,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR90,900,3,20.11,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR100,1000,3,21.21,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
QR,S,ステンレス鋼,S-QR120,1200,3,25.61,ネグロス電工 電設資材カタログ2026-27年版 p.863（QRタイプ 直線ラック 単品質量表・定尺3m）
