wireType,spec,w,h,source
VVF,1.6-2C,6.2,9.4,JIS C 3342:2012 表7(2心)・表8(3心)の実測値（出典：ハマネツ技術資料）
VVF,1.6-3C,6.2,13.0,JIS C 3342:2012 表7(2心)・表8(3心)の実測値（出典：ハマネツ技術資料）
VVF,2.0-2C,6.6,10.5,JIS C 3342:2012 表7(2心)・表8(3心)の実測値（出典：ハマネツ技術資料）
VVF,2.0-3C,6.6,14.0,JIS C 3342:2012 表7(2心)・表8(3心)の実測値（出典：ハマネツ技術資料）
VVF,2.6-2C,7.6,12.5,JIS C 3342:2012 表7(2心)・表8(3心)の実測値（出典：ハマネツ技術資料）
EM-EEF,1.6-2C,6.2,9.4,メーカー資料では「VVFと同サイズ・同仕上外径」と説明されているためVVFと同値を採用（要個別カタログ確認）
EM-EEF,1.6-3C,6.2,13.0,メーカー資料では「VVFと同サイズ・同仕上外径」と説明されているためVVFと同値を採用（要個別カタログ確認）
EM-EEF,2.0-2C,6.6,10.5,メーカー資料では「VVFと同サイズ・同仕上外径」と説明されているためVVFと同値を採用（要個別カタログ確認）
EM-EEF,2.0-3C,6.6,14.0,メーカー資料では「VVFと同サイズ・同仕上外径」と説明されているためVVFと同値を採用（要個別カタログ確認）
EM-EEF,2.6-2C,7.6,12.5,メーカー資料では「VVFと同サイズ・同仕上外径」と説明されているためVVFと同値を採用（要個別カタログ確認）
ICT,0.5-1P,,4.0,
ICT,0.5-2P,,4.5,
ICT,0.65-1P,,4.2,
ICT,0.65-2P,,4.8,
HP,0.9-2C,3.7,5.4,出典：施工管理の教科書「HPケーブルとは」掲載の仕上外径表
HP,0.9-3C,3.7,7.1,出典：施工管理の教科書「HPケーブルとは」掲載の仕上外径表
HP,1.2-2C,4.0,6.0,出典：施工管理の教科書「HPケーブルとは」掲載の仕上外径表
HP,1.2-3C,4.0,8.0,出典：施工管理の教科書「HPケーブルとは」掲載の仕上外径表
IV,1.6mm,,2.8,
IV,2.0mm,,3.4,
IV,2.6mm,,4.0,
IV,5.5sq,,5.0,
IV,8sq,,5.6,
EM-IV,1.6mm,,2.8,
EM-IV,2.0mm,,3.4,
EM-IV,2.6mm,,4.0,
EM-IV,5.5sq,,5.0,
EM-IV,8sq,,5.6,
AE,0.65-2C,2.3,3.3,出典：伸興電線 AE製品仕様（電材ストア等）の仕上外径。EM-AEは同社EM品も同径のため同値を採用（要個別確認）
AE,1.2-2C,3.0,4.8,出典：伸興電線 AE製品仕様（電材ストア等）の仕上外径。EM-AEは同社EM品も同径のため同値を採用（要個別確認）
